time,case_id,employee,event
0,2:0,2,dispute_created
0,3:0,3,dispute_created
0,4:0,4,dispute_created
0,5:0,5,dispute_created
0,7:0,7,dispute_created
0,8:0,8,dispute_created
0,10:0,10,dispute_created
0,12:0,12,dispute_created
0,15:0,15,dispute_created
0,16:0,16,dispute_created
0,17:0,17,dispute_created
0,18:0,18,dispute_created
0,20:0,20,dispute_created
0,22:0,22,dispute_created
0,2:0,2,customer_received
0,3:0,3,domestic_received
0,4:0,4,domestic_received
0,5:0,5,domestic_received
0,7:0,7,domestic_received
0,8:0,8,domestic_received
0,10:0,10,domestic_received
0,12:0,12,customer_received
0,15:0,15,domestic_received
0,16:0,16,domestic_received
0,17:0,17,domestic_received
0,18:0,18,domestic_received
0,18:0,18,customer_received
0,20:0,20,domestic_received
0,22:0,22,domestic_received
2,3:0,3,domestic_responded
2,3:0,3,domestic_material_not_issued
2,3:0,3,domestic_no_remedy
2,4:0,4,domestic_responded
2,4:0,4,domestic_material_not_issued
2,4:0,4,domestic_no_remedy
2,5:0,5,domestic_responded
2,5:0,5,domestic_material_not_issued
2,5:0,5,domestic_remedy_supported
2,7:0,7,domestic_responded
2,7:0,7,domestic_material_not_issued
2,7:0,7,domestic_no_remedy
2,8:0,8,domestic_responded
2,8:0,8,domestic_material_not_issued
2,8:0,8,domestic_no_remedy
2,10:0,10,domestic_responded
2,10:0,10,domestic_material_not_issued
2,10:0,10,domestic_remedy_supported
2,15:0,15,domestic_responded
2,15:0,15,domestic_material_not_issued
2,15:0,15,domestic_no_remedy
2,16:0,16,domestic_responded
2,16:0,16,domestic_material_not_issued
2,16:0,16,domestic_no_remedy
2,17:0,17,domestic_responded
2,17:0,17,domestic_material_not_issued
2,17:0,17,domestic_no_remedy
2,18:0,18,domestic_responded
2,18:0,18,domestic_material_not_issued
2,18:0,18,domestic_no_remedy
2,20:0,20,domestic_responded
2,20:0,20,domestic_material_not_issued
2,20:0,20,domestic_no_remedy
2,22:0,22,domestic_responded
2,22:0,22,domestic_material_not_issued
2,22:0,22,domestic_no_remedy
2,2:0,2,customer_reviewed
2,2:0,2,customer_intervened
2,12:0,12,customer_reviewed
2,12:0,12,customer_declined
2,18:0,18,customer_reviewed
2,18:0,18,customer_declined
3,5:0,5,domestic_implementation_failure
3,10:0,10,domestic_implementation_success
3,2:0,2,firm_case_processed
3,2:0,2,customer_firm_success
3,2:0,2,case_resolved
3,10:0,10,case_resolved
