case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort
15:0,15,4,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.9031534645466606,True,0.4162920712285151,,3.0,,,3.0,3.0,3.0,1,0
36:0,36,5,0,3.0,3.0,17.0,3.0,19.0,,19.0,,20.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3306545869185116,True,0.506188904761806,3.0,20.0,no_remedy,,,62.0,65.0,2,0
37:0,37,2,0,0.0,0.0,,0.0,,,,1.0,,successful,unused,1.0,d,1.0,d,resolved,0.5243724162730126,False,0.6,1.0,,remedy_supported,1.0,1.0,1.0,1.0,0,0
42:0,42,4,0,2.0,2.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5206669081530922,True,0.4162920712285151,2.0,,no_remedy,,,63.0,65.0,1,0
55:0,55,1,0,1.0,5.0,1.0,5.0,3.0,,3.0,,4.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9284412129178004,True,0.5994915417836008,5.0,4.0,no_remedy,,,64.0,65.0,0,0
58:0,58,3,0,1.0,1.0,4.0,1.0,6.0,,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6796322940173094,True,0.40760183202748823,1.0,7.0,no_remedy,,,64.0,65.0,1,0
62:0,62,0,0,2.0,2.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.77846346196991,True,0.47042565019858995,2.0,,no_remedy,,,63.0,65.0,2,0
76:0,76,1,0,2.0,2.0,5.0,2.0,7.0,,7.0,,8.0,closed_unresolved,successful,8.0,e,1.0,d,resolved,0.544783234623755,True,0.5994915417836008,2.0,8.0,no_remedy,,6.0,6.0,8.0,0,0
103:0,103,2,0,1.0,1.0,,1.0,,1.0,,2.0,,successful,unused,2.0,d,1.0,d,resolved,0.8424656202399652,True,0.6,2.0,,remedy_supported,2.0,1.0,1.0,2.0,0,0
108:0,108,3,0,1.0,28.0,1.0,28.0,3.0,,3.0,,4.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.22099467565817488,True,0.40760183202748823,28.0,4.0,no_remedy,,,64.0,65.0,1,0
113:0,113,5,0,3.0,3.0,24.0,3.0,26.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6091512180970545,True,0.506188904761806,3.0,26.0,no_remedy,,,62.0,65.0,2,0
122:0,122,0,0,0.0,0.0,,0.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.309328361227734,True,0.47042565019858995,0.0,,no_remedy,,,65.0,65.0,2,0
125:0,125,3,0,3.0,,3.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.8935224508662596,True,0.40760183202748823,,5.0,,,,62.0,65.0,1,0
148:0,148,0,0,3.0,3.0,6.0,3.0,8.0,,8.0,,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.2134530269218864,True,0.47042565019858995,3.0,9.0,no_remedy,,6.0,6.0,9.0,2,0
159:0,159,3,0,1.0,1.0,4.0,1.0,6.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.39218587635200364,True,0.40760183202748823,1.0,6.0,no_remedy,,,64.0,65.0,1,0
