time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,utilities
0,2:0,2,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27197079496082843,0.4683103840868439,0.2631195786566093,0.18530955760014894,wait:0.000000;d:-0.018258;e:0.236322;d+e:0.094823
0,4:0,4,d+e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4734939162452191,0.6434168944540841,0.0931582133250654,0.3081183566110844,wait:0.000000;d:0.333140;e:0.271166;d+e:0.337358
0,5:0,5,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4311328982886555,0.40798145905146355,0.2639240822345544,0.40927658994266675,wait:0.000000;d:0.124235
0,7:0,7,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368540343874118,0.36285187506581434,0.26378219323620805,0.14589476006045327,wait:0.000000;d:0.129528;e:0.180790;d+e:0.161829
0,15:0,15,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009231943614537,0.47006056998838386,0.24868062735076762,0.22097621163406084,wait:0.000000;d:0.292345;e:0.202231;d+e:0.245610
0,17:0,17,d+e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937842401883934,0.4940366936275521,0.18986681625049356,0.1773972015425624,wait:0.000000;d:0.254699;e:0.267396;d+e:0.304355
0,20:0,20,d+e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264950221095083,0.6126383028244748,0.15126403642668912,0.23575633653613837,wait:0.000000;d:0.322752;e:0.315817;d+e:0.357115
2,1:2,1,d,False,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.5346280060038413,0.6054011115602114,0.17528513728356593,0.3985224505149892,wait:0.000000;d:0.306054;e:0.146535;d+e:0.170231
3,2:0,2,no_addition,False,0.2,0.2,0.2,0.1,0.2,0.2,0.0,0.0,0.0,1.0,0.27197079496082843,0.4214793456781595,0.2525947955103449,0.177897175296143,wait:0.406983;d:0.279595
3,4:0,4,no_addition,False,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.4734939162452191,0.6434168944540841,0.08783488684934737,0.2905115933761653,wait:0.794438
3,5:0,5,no_addition,True,0.2,0.6,0.2,0.4,0.2,0.6,0.0,0.0,0.0,1.0,0.4311328982886555,0.5471833131463172,0.2533671189451722,0.36016339914954676,wait:0.416304
3,7:0,7,d,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.4368540343874118,0.36285187506581434,0.2461967136871275,0.13616844272308973,wait:0.000000;d:0.127114
3,15:0,15,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009231943614537,0.47006056998838386,0.24868062735076762,0.22097621163406084,wait:0.580255;e:0.516918
3,17:0,17,no_addition,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.4937842401883934,0.6740366936275521,0.17720902850046066,0.1655707214397249,wait:0.817327
3,19:3,19,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42532229670758614,0.4820570177910964,0.2098926679473449,0.4072784053955629,wait:0.000000;d:0.173035;e:0.026729;d+e:0.013571
3,20:0,20,no_addition,False,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,0.5264950221095083,0.5513744725420273,0.1462219018791328,0.22789779198493376,wait:0.770127
4,5:0,5,no_addition,True,0.2,0.0,0.2,0.0,0.2,0.0,1.0,1.0,0.0,2.0,0.4880196084597899,0.5745447964222001,0.2533671189451722,0.40927658994266675,wait:0.000000
4,7:0,7,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.44632592922930003,0.38342409380594217,0.26378219323620805,0.14589476006045327,wait:0.416152
4,18:4,18,d,False,0.25,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.554994637676679,0.415852365145589,0.15546213973554704,0.20159273423979746,wait:0.000000;d:0.344213;e:0.172809;d+e:0.309943
5,1:2,1,no_addition,False,0.2,0.0,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.8331652054034572,0.6448610004041901,0.17528513728356593,0.4151275526197804,wait:0.804509;e:0.482880
5,5:0,5,no_addition,True,0.2,0.0,0.2,0.0,0.2,0.0,1.0,1.0,0.0,2.0,0.4880196084597899,0.5745447964222001,0.2533671189451722,0.40927658994266675,wait:0.000000
5,7:0,7,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.44632592922930003,0.38342409380594217,0.26378219323620805,0.14589476006045327,wait:0.430975
6,1:2,1,e,False,0.2,0.0,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.8331652054034572,0.6448610004041901,0.17528513728356593,0.4151275526197804,wait:0.000000;e:0.145457
6,4:6,4,d,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.715469828808436,0.6219043602859714,0.0931582133250654,0.3081183566110844,wait:0.000000;d:0.550997;e:0.251797;d+e:0.422122
6,5:0,5,no_addition,True,0.2,0.0,0.2,0.0,0.2,0.0,1.0,1.0,0.0,1.0,0.4880196084597899,0.601784240193744,0.2533671189451722,0.40927658994266675,wait:0.000000
6,7:0,7,no_addition,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.44632592922930003,0.5634240938059422,0.26378219323620805,0.14589476006045327,wait:0.430975
6,19:3,19,no_addition,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42532229670758614,0.6620570177910964,0.2098926679473449,0.4072784053955629,wait:0.410694;e:0.334681
7,1:2,1,no_addition,False,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8146280060038413,0.6054011115602114,0.1679815898967507,0.4151275526197804,wait:0.564472
7,2:7,2,e,False,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.49677371546474547,0.4683103840868439,0.2578571870834771,0.18530955760014894,wait:0.000000;d:0.189400;e:0.236322;d+e:0.217144
7,5:0,5,no_addition,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6400196084597899,0.5879814590514636,0.2639240822345544,0.40927658994266675,wait:0.000000
7,7:0,7,no_addition,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368540343874118,0.5428518750658143,0.26378219323620805,0.14589476006045327,wait:0.000000
7,18:4,18,no_addition,False,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,1.0,0.0,0.4549946376766791,0.415852365145589,0.1636443576163653,0.19151309752780757,wait:0.439345;e:0.437742
8,1:2,1,no_addition,False,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.7331652054034572,0.6054011115602114,0.17528513728356593,0.4151275526197804,wait:0.584579
8,5:0,5,no_addition,True,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.6400196084597899,0.5879814590514636,0.2639240822345544,0.39290552634496007,wait:0.000000
8,7:0,7,no_addition,True,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7168540343874118,0.5428518750658143,0.26378219323620805,0.14103160139177148,wait:0.000000
8,18:4,18,e,False,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,1.0,0.0,0.4549946376766791,0.415852365145589,0.1636443576163653,0.19151309752780757,wait:0.000000;e:0.162889
9,1:2,1,no_addition,False,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,1.0,0.0,0.7331652054034572,0.6054011115602114,0.17528513728356593,0.3985224505149892,wait:0.584579
9,4:6,4,no_addition,True,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.7534939162452189,0.8234168944540841,0.0931582133250654,0.2905115933761653,wait:0.727578;e:0.619024
9,5:0,5,no_addition,True,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.6400196084597899,0.5879814590514636,0.2639240822345544,0.39290552634496007,wait:0.000000
9,7:0,7,no_addition,True,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7168540343874118,0.5428518750658143,0.26378219323620805,0.14103160139177148,wait:0.000000
9,18:4,18,no_addition,False,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5055495974185323,0.415852365145589,0.1636443576163653,0.19151309752780757,wait:0.387738
9,20:9,20,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7258455198985573,0.6126383028244748,0.15126403642668912,0.23575633653613837,wait:0.000000;d:0.502232;e:0.315817;d+e:0.437598
10,2:7,2,d,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5967737154647454,0.4683103840868439,0.2631195786566093,0.18530955760014894,wait:0.000000;d:0.254170
10,5:0,5,no_addition,True,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,1.0,0.7111328982886554,0.5471833131463172,0.2533671189451722,0.39290552634496007,wait:0.000000
10,7:0,7,no_addition,True,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,0.7168540343874118,0.506566687559233,0.2549894534616678,0.14103160139177148,wait:0.000000
10,10:10,10,d,False,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6547509926299424,0.2924528255254535,0.22542131329577003,0.35068018009218543,wait:0.000000;d:0.364067;e:-0.087378;d+e:0.101476
10,18:4,18,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5055495974185323,0.47426712863103004,0.1636443576163653,0.20159273423979746,wait:0.457955
11,2:7,2,no_addition,False,0.1,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.5967737154647454,0.4683103840868439,0.2578571870834771,0.18530955760014894,wait:0.556428
11,5:0,5,no_addition,True,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.7111328982886554,0.5471833131463172,0.24281015565579,0.40927658994266675,wait:0.000000
11,6:11,6,d,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.770248216658086,0.4175754694948071,0.2302959631869195,0.29481544895101186,wait:0.000000;d:0.463177;e:0.081138;d+e:0.263602
11,7:0,7,no_addition,True,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.7168540343874118,0.506566687559233,0.2461967136871275,0.14589476006045327,wait:0.000000
11,18:4,18,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5055495974185323,0.47426712863103004,0.1636443576163653,0.20159273423979746,wait:0.457955
11,19:11,19,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7053222967075861,0.4820570177910964,0.2098926679473449,0.4072784053955629,wait:0.000000;d:0.425126;e:0.026729;d+e:0.156252
12,2:7,2,no_addition,False,0.1,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.5967737154647454,0.4683103840868439,0.2578571870834771,0.18530955760014894,wait:0.576248
12,5:0,5,no_addition,True,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.7111328982886554,0.5471833131463172,0.24281015565579,0.40927658994266675,wait:0.000000
12,7:0,7,no_addition,True,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.7168540343874118,0.506566687559233,0.2461967136871275,0.14589476006045327,wait:0.000000
12,18:4,18,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5055495974185323,0.47426712863103004,0.1636443576163653,0.20159273423979746,wait:0.000000
12,20:9,20,no_addition,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064950221095082,0.7926383028244748,0.15126403642668912,0.23575633653613837,wait:0.778756;e:0.680886
13,2:7,2,no_addition,True,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5519707949608283,0.6483103840868438,0.2578571870834771,0.18530955760014894,wait:0.532986
