period,group,cases,customer_users,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved,firms_observed,variant,dependence_mean,seed
early,all,41,22,0.8536585365853658,0.5365853658536586,0.4146341463414634,0.22727272727272727,0.36585365853658536,0.3902439024390244,0.17073170731707318,0.4226190476190476,6,main,0.1,0
early,low,20,9,0.85,0.45,0.4,0.1111111111111111,0.3,0.3,0.15,0.4166666666666667,3,main,0.1,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.42857142857142855,0.3076923076923077,0.42857142857142855,0.47619047619047616,0.19047619047619047,0.42857142857142855,3,main,0.1,0
early,low_tail,14,8,0.7857142857142857,0.5714285714285714,0.2857142857142857,0.125,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.29166666666666663,2,main,0.1,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.38461538461538464,0.2,0.46153846153846156,0.6923076923076923,0.3076923076923077,0.39285714285714285,2,main,0.1,0
late,all,43,19,0.8604651162790697,0.4418604651162791,0.4883720930232558,0.10526315789473684,0.27906976744186046,0.32558139534883723,0.13953488372093023,0.4899470899470899,6,main,0.1,0
late,low,23,10,0.9130434782608695,0.43478260869565216,0.4782608695652174,0.1,0.21739130434782608,0.391304347826087,0.17391304347826086,0.4953703703703704,3,main,0.1,0
late,high,20,9,0.8,0.45,0.5,0.1111111111111111,0.35,0.25,0.1,0.4845238095238096,3,main,0.1,0
late,low_tail,15,7,0.8666666666666667,0.4666666666666667,0.5333333333333333,0.14285714285714285,0.3333333333333333,0.4,0.13333333333333333,0.5555555555555556,2,main,0.1,0
late,high_tail,15,6,0.7333333333333333,0.4,0.5333333333333333,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.5267857142857143,2,main,0.1,0
early,all,41,24,0.8536585365853658,0.5853658536585366,0.4146341463414634,0.16666666666666666,0.4146341463414634,0.43902439024390244,0.17073170731707318,0.4255952380952381,6,main,0.3,0
early,low,20,10,0.85,0.5,0.4,0.1,0.35,0.35,0.15,0.4166666666666667,3,main,0.3,0
early,high,21,14,0.8571428571428571,0.6666666666666666,0.42857142857142855,0.21428571428571427,0.47619047619047616,0.5238095238095238,0.19047619047619047,0.43452380952380953,3,main,0.3,0
early,low_tail,14,9,0.7857142857142857,0.6428571428571429,0.2857142857142857,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.29166666666666663,2,main,0.3,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.2,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.4642857142857143,2,main,0.3,0
late,all,43,23,0.7674418604651163,0.5348837209302325,0.3953488372093023,0.13043478260869565,0.32558139534883723,0.32558139534883723,0.20930232558139536,0.3897486772486772,6,main,0.3,0
late,low,23,13,0.8260869565217391,0.5652173913043478,0.34782608695652173,0.15384615384615385,0.2608695652173913,0.391304347826087,0.30434782608695654,0.34259259259259256,3,main,0.3,0
late,high,20,10,0.7,0.5,0.45,0.1,0.4,0.25,0.1,0.4369047619047619,3,main,0.3,0
late,low_tail,15,9,0.7333333333333333,0.6,0.4,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.38888888888888884,2,main,0.3,0
late,high_tail,15,7,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.14285714285714285,0.4,0.2,0.06666666666666667,0.45535714285714285,2,main,0.3,0
early,all,41,26,0.8292682926829268,0.6341463414634146,0.4146341463414634,0.19230769230769232,0.4634146341463415,0.4634146341463415,0.17073170731707318,0.4325396825396825,6,main,0.5,0
early,low,20,13,0.8,0.65,0.4,0.15384615384615385,0.45,0.45,0.2,0.4305555555555555,3,main,0.5,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.42857142857142855,0.23076923076923078,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.43452380952380953,3,main,0.5,0
early,low_tail,14,11,0.7142857142857143,0.7857142857142857,0.2857142857142857,0.18181818181818182,0.5714285714285714,0.5,0.21428571428571427,0.3125,2,main,0.5,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.2,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.4642857142857143,2,main,0.5,0
late,all,43,30,0.7441860465116279,0.6976744186046512,0.5581395348837209,0.3,0.3953488372093023,0.46511627906976744,0.27906976744186046,0.5424603174603174,6,main,0.5,0
