time,case_id,employee,event
0,0:0,0,dispute_created
0,1:0,1,dispute_created
0,3:0,3,dispute_created
0,5:0,5,dispute_created
0,6:0,6,dispute_created
0,7:0,7,dispute_created
0,8:0,8,dispute_created
0,10:0,10,dispute_created
0,11:0,11,dispute_created
0,12:0,12,dispute_created
0,15:0,15,dispute_created
0,16:0,16,dispute_created
0,17:0,17,dispute_created
0,19:0,19,dispute_created
0,20:0,20,dispute_created
0,21:0,21,dispute_created
0,22:0,22,dispute_created
0,24:0,24,dispute_created
0,27:0,27,dispute_created
0,30:0,30,dispute_created
0,31:0,31,dispute_created
0,35:0,35,dispute_created
0,37:0,37,dispute_created
0,39:0,39,dispute_created
0,42:0,42,dispute_created
0,45:0,45,dispute_created
0,46:0,46,dispute_created
0,49:0,49,dispute_created
0,50:0,50,dispute_created
0,52:0,52,dispute_created
0,54:0,54,dispute_created
0,57:0,57,dispute_created
0,58:0,58,dispute_created
0,59:0,59,dispute_created
0,60:0,60,dispute_created
0,61:0,61,dispute_created
0,62:0,62,dispute_created
0,68:0,68,dispute_created
0,69:0,69,dispute_created
0,70:0,70,dispute_created
0,71:0,71,dispute_created
0,73:0,73,dispute_created
0,75:0,75,dispute_created
0,76:0,76,dispute_created
0,77:0,77,dispute_created
0,78:0,78,dispute_created
0,79:0,79,dispute_created
0,82:0,82,dispute_created
0,83:0,83,dispute_created
0,85:0,85,dispute_created
0,88:0,88,dispute_created
0,89:0,89,dispute_created
0,90:0,90,dispute_created
0,91:0,91,dispute_created
0,92:0,92,dispute_created
0,99:0,99,dispute_created
0,100:0,100,dispute_created
0,101:0,101,dispute_created
0,102:0,102,dispute_created
0,103:0,103,dispute_created
0,104:0,104,dispute_created
0,106:0,106,dispute_created
0,107:0,107,dispute_created
0,108:0,108,dispute_created
0,111:0,111,dispute_created
0,112:0,112,dispute_created
0,113:0,113,dispute_created
0,117:0,117,dispute_created
0,118:0,118,dispute_created
0,0:0,0,domestic_received
0,1:0,1,domestic_received
0,1:0,1,customer_received
0,3:0,3,domestic_received
0,5:0,5,domestic_received
0,6:0,6,domestic_received
0,7:0,7,domestic_received
0,7:0,7,customer_received
0,8:0,8,domestic_received
0,10:0,10,domestic_received
0,11:0,11,domestic_received
0,12:0,12,domestic_received
0,15:0,15,domestic_received
0,16:0,16,domestic_received
0,17:0,17,domestic_received
0,19:0,19,domestic_received
0,20:0,20,domestic_received
0,21:0,21,domestic_received
0,21:0,21,customer_received
0,22:0,22,domestic_received
0,24:0,24,domestic_received
0,27:0,27,domestic_received
0,30:0,30,domestic_received
0,31:0,31,domestic_received
0,31:0,31,customer_received
0,35:0,35,domestic_received
0,37:0,37,domestic_received
0,37:0,37,customer_received
0,39:0,39,domestic_received
0,42:0,42,customer_received
0,45:0,45,domestic_received
0,46:0,46,customer_received
0,49:0,49,domestic_received
0,50:0,50,domestic_received
0,52:0,52,domestic_received
0,54:0,54,customer_received
0,57:0,57,domestic_received
0,57:0,57,customer_received
0,58:0,58,domestic_received
0,59:0,59,domestic_received
0,60:0,60,customer_received
0,61:0,61,domestic_received
0,62:0,62,domestic_received
0,62:0,62,customer_received
0,68:0,68,domestic_received
0,69:0,69,domestic_received
0,70:0,70,domestic_received
0,71:0,71,domestic_received
0,73:0,73,domestic_received
0,75:0,75,domestic_received
0,75:0,75,customer_received
0,76:0,76,domestic_received
0,77:0,77,domestic_received
0,78:0,78,domestic_received
0,79:0,79,domestic_received
0,82:0,82,domestic_received
0,83:0,83,domestic_received
0,85:0,85,domestic_received
0,88:0,88,domestic_received
0,89:0,89,domestic_received
0,90:0,90,domestic_received
0,91:0,91,customer_received
0,92:0,92,domestic_received
0,99:0,99,domestic_received
0,100:0,100,domestic_received
0,101:0,101,domestic_received
0,102:0,102,domestic_received
0,103:0,103,domestic_received
0,104:0,104,domestic_received
0,106:0,106,domestic_received
0,107:0,107,domestic_received
0,108:0,108,domestic_received
0,111:0,111,domestic_received
0,111:0,111,customer_received
0,112:0,112,domestic_received
0,113:0,113,customer_received
0,117:0,117,domestic_received
0,118:0,118,domestic_received
2,0:0,0,domestic_responded
2,0:0,0,domestic_material_not_issued
2,0:0,0,domestic_remedy_supported
2,1:0,1,domestic_responded
2,1:0,1,domestic_material_not_issued
2,1:0,1,domestic_remedy_supported
2,3:0,3,domestic_responded
2,3:0,3,domestic_material_not_issued
2,3:0,3,domestic_no_remedy
2,5:0,5,domestic_responded
2,5:0,5,domestic_material_not_issued
2,5:0,5,domestic_no_remedy
2,6:0,6,domestic_responded
2,6:0,6,domestic_material_not_issued
2,6:0,6,domestic_remedy_supported
2,7:0,7,domestic_responded
2,7:0,7,domestic_material_not_issued
2,7:0,7,domestic_remedy_supported
2,8:0,8,domestic_responded
2,8:0,8,domestic_material_not_issued
2,8:0,8,domestic_no_remedy
2,10:0,10,domestic_responded
2,10:0,10,domestic_material_not_issued
2,10:0,10,domestic_no_remedy
2,11:0,11,domestic_responded
2,11:0,11,domestic_material_not_issued
2,11:0,11,domestic_no_remedy
2,12:0,12,domestic_responded
2,12:0,12,domestic_material_not_issued
2,12:0,12,domestic_remedy_supported
2,15:0,15,domestic_responded
2,15:0,15,domestic_material_not_issued
2,15:0,15,domestic_remedy_supported
2,16:0,16,domestic_responded
2,16:0,16,domestic_material_not_issued
2,16:0,16,domestic_no_remedy
2,1:0,1,customer_reviewed
2,1:0,1,customer_intervened
2,7:0,7,customer_reviewed
2,7:0,7,customer_intervened
2,21:0,21,customer_reviewed
2,21:0,21,customer_intervened
2,31:0,31,customer_reviewed
2,31:0,31,customer_intervened
2,42:0,42,customer_reviewed
2,42:0,42,customer_declined
2,46:0,46,customer_reviewed
2,46:0,46,customer_declined
3,3:0,3,customer_received
3,10:0,10,customer_received
3,11:0,11,customer_received
3,16:0,16,customer_received
3,42:0,42,domestic_received
3,46:0,46,domestic_received
3,17:0,17,domestic_responded
3,17:0,17,domestic_material_not_issued
3,17:0,17,domestic_remedy_supported
3,19:0,19,domestic_responded
3,19:0,19,domestic_material_not_issued
3,19:0,19,domestic_no_remedy
3,20:0,20,domestic_responded
3,20:0,20,domestic_material_not_issued
3,20:0,20,domestic_no_remedy
3,21:0,21,domestic_responded
3,21:0,21,domestic_material_not_issued
3,21:0,21,domestic_remedy_supported
3,22:0,22,domestic_responded
3,22:0,22,domestic_material_not_issued
3,22:0,22,domestic_remedy_supported
3,24:0,24,domestic_responded
3,24:0,24,domestic_material_not_issued
3,24:0,24,domestic_remedy_supported
3,27:0,27,domestic_responded
3,27:0,27,domestic_material_not_issued
3,27:0,27,domestic_no_remedy
3,30:0,30,domestic_responded
3,30:0,30,domestic_material_not_issued
3,30:0,30,domestic_no_remedy
3,31:0,31,domestic_responded
3,31:0,31,domestic_material_not_issued
3,31:0,31,domestic_remedy_supported
3,35:0,35,domestic_responded
3,35:0,35,domestic_material_not_issued
3,35:0,35,domestic_no_remedy
3,37:0,37,domestic_responded
3,37:0,37,domestic_material_not_issued
3,37:0,37,domestic_no_remedy
3,39:0,39,domestic_responded
3,39:0,39,domestic_material_not_issued
3,39:0,39,domestic_no_remedy
3,37:0,37,customer_reviewed
3,37:0,37,customer_declined
3,54:0,54,customer_reviewed
3,54:0,54,customer_intervened
3,57:0,57,customer_reviewed
3,57:0,57,customer_declined
3,60:0,60,customer_reviewed
3,60:0,60,customer_declined
3,62:0,62,customer_reviewed
3,62:0,62,customer_declined
3,91:0,91,customer_reviewed
3,91:0,91,customer_declined
3,0:0,0,domestic_implementation_success
3,1:0,1,domestic_implementation_success
3,6:0,6,domestic_implementation_success
3,7:0,7,domestic_implementation_success
3,12:0,12,domestic_implementation_success
3,15:0,15,domestic_implementation_success
3,7:0,7,firm_case_processed
3,7:0,7,customer_firm_success
3,31:0,31,firm_case_processed
3,31:0,31,customer_firm_failure
3,21:0,21,firm_case_processed
3,21:0,21,customer_firm_success
3,1:0,1,firm_case_processed
3,1:0,1,customer_firm_success
3,0:0,0,case_resolved
3,1:0,1,case_resolved
3,6:0,6,case_resolved
3,7:0,7,case_resolved
3,12:0,12,case_resolved
3,15:0,15,case_resolved
3,21:0,21,d_cancelled_by_resolution
3,21:0,21,case_resolved
4,19:0,19,customer_received
4,20:0,20,customer_received
4,27:0,27,customer_received
4,30:0,30,customer_received
4,35:0,35,customer_received
4,39:0,39,customer_received
4,45:0,45,customer_received
4,58:0,58,customer_received
4,60:0,60,domestic_received
4,73:0,73,customer_received
4,88:0,88,customer_received
4,91:0,91,domestic_received
4,92:0,92,customer_received
4,45:0,45,domestic_responded
4,45:0,45,domestic_material_not_issued
4,45:0,45,domestic_remedy_supported
4,49:0,49,domestic_responded
4,49:0,49,domestic_material_not_issued
4,49:0,49,domestic_no_remedy
4,50:0,50,domestic_responded
4,50:0,50,domestic_material_not_issued
4,50:0,50,domestic_remedy_supported
4,52:0,52,domestic_responded
4,52:0,52,domestic_material_not_issued
4,52:0,52,domestic_no_remedy
4,57:0,57,domestic_responded
4,57:0,57,domestic_material_not_issued
4,57:0,57,domestic_remedy_supported
4,58:0,58,domestic_responded
4,58:0,58,domestic_material_not_issued
4,58:0,58,domestic_no_remedy
4,59:0,59,domestic_responded
4,59:0,59,domestic_material_not_issued
4,59:0,59,domestic_remedy_supported
4,61:0,61,domestic_responded
4,61:0,61,domestic_material_not_issued
4,61:0,61,domestic_remedy_supported
4,62:0,62,domestic_responded
4,62:0,62,domestic_material_not_issued
4,62:0,62,domestic_no_remedy
4,68:0,68,domestic_responded
4,68:0,68,domestic_material_not_issued
4,68:0,68,domestic_no_remedy
4,69:0,69,domestic_responded
4,69:0,69,domestic_material_not_issued
4,69:0,69,domestic_no_remedy
4,70:0,70,domestic_responded
