time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,69,69,69,69,0,0,69,69,0,0,69,69,0,0,0,0,0,0,69,69,0,0
1,0,0,0,0,0,0,69,69,0,0,69,69,0,0,0,0,0,0,69,69,69,0
2,0,0,0,0,0,0,69,63,0,6,63,57,6,6,0,0,0,0,69,69,69,0
3,0,0,0,0,0,0,63,50,0,13,50,45,5,5,6,0,6,6,69,69,69,0
4,0,0,0,0,0,0,59,39,0,20,39,33,6,6,4,0,4,10,69,69,50,0
5,0,0,0,0,0,0,53,27,0,26,27,21,6,6,6,0,6,16,69,69,39,0
6,0,0,0,0,0,0,48,16,0,32,16,9,7,7,5,0,5,21,69,69,27,0
7,0,0,0,0,0,0,41,4,0,37,4,0,4,4,7,0,7,28,69,69,16,0
8,0,0,0,0,0,0,39,0,0,39,0,0,0,0,2,0,2,30,69,69,4,0
9,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
10,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
11,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
12,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
13,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
14,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
15,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
16,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
17,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
18,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
19,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
20,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
21,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
22,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
23,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
24,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
25,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
26,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
27,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
28,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
29,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
30,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
31,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
32,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
33,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
34,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
35,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
36,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
37,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
38,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
39,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
40,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
41,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
42,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
43,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
44,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0
