time,case_id,employee
48,14:0,14
48,17:0,17
48,58:0,58
49,73:1,73
49,118:1,118
50,12:2,12
52,70:4,70
53,82:5,82
54,56:6,56
54,110:6,110
55,40:7,40
55,101:7,101
57,41:9,41
59,93:11,93
59,96:11,96
62,98:14,98
64,1:16,1
66,97:18,97
68,67:20,67
68,108:20,108
73,27:25,27
74,54:26,54
80,81:32,81
84,30:36,30
87,37:39,37
90,109:42,109
91,35:43,35
92,46:44,46
93,24:45,24
93,87:45,87
94,8:46,8
94,114:46,114
95,50:47,50
96,62:48,62
96,63:48,63
106,106:58,106
107,3:59,3
108,48:60,48
110,84:62,84
112,7:64,7
112,57:64,57
116,23:68,23
118,5:70,5
120,91:72,91
121,108:73,108
122,21:74,21
122,43:74,43
126,14:78,14
127,29:79,29
128,82:80,82
129,22:81,22
130,105:82,105
132,60:84,60
133,18:85,18
133,25:85,25
134,2:86,2
135,12:87,12
136,64:88,64
137,78:89,78
146,100:98,100
147,71:99,71
147,104:99,104
149,99:101,99
150,54:102,54
151,0:103,0
151,118:103,118
153,81:105,81
155,1:107,1
155,83:107,83
155,119:107,119
156,65:108,65
157,44:109,44
157,115:109,115
159,89:111,89
160,8:112,8
160,94:112,94
163,16:115,16
