time,case_id,employee,event
0,15:0,15,dispute_created
0,36:0,36,dispute_created
0,37:0,37,dispute_created
0,42:0,42,dispute_created
0,55:0,55,dispute_created
0,58:0,58,dispute_created
0,62:0,62,dispute_created
0,76:0,76,dispute_created
0,103:0,103,dispute_created
0,108:0,108,dispute_created
0,113:0,113,dispute_created
0,122:0,122,dispute_created
0,125:0,125,dispute_created
0,148:0,148,dispute_created
0,159:0,159,dispute_created
0,168:0,168,dispute_created
0,170:0,170,dispute_created
0,172:0,172,dispute_created
0,178:0,178,dispute_created
0,201:0,201,dispute_created
0,207:0,207,dispute_created
0,218:0,218,dispute_created
0,227:0,227,dispute_created
0,228:0,228,dispute_created
0,15:0,15,customer_received
0,37:0,37,domestic_received
0,122:0,122,domestic_received
0,168:0,168,customer_received
0,172:0,172,domestic_received
0,178:0,178,customer_received
1,55:0,55,customer_received
1,58:0,58,domestic_received
1,103:0,103,domestic_received
1,108:0,108,customer_received
1,159:0,159,domestic_received
1,170:0,170,domestic_received
1,201:0,201,customer_received
1,207:0,207,domestic_received
2,42:0,42,domestic_received
2,62:0,62,domestic_received
2,76:0,76,domestic_received
2,218:0,218,domestic_received
2,227:0,227,domestic_received
2,228:0,228,customer_received
2,37:0,37,domestic_responded
2,37:0,37,domestic_material_issued
2,37:0,37,domestic_remedy_supported
2,122:0,122,domestic_responded
2,122:0,122,domestic_material_issued
2,122:0,122,domestic_remedy_supported
2,172:0,172,domestic_responded
2,172:0,172,domestic_material_not_issued
2,172:0,172,domestic_remedy_supported
2,15:0,15,customer_reviewed
2,15:0,15,customer_intervened
2,168:0,168,customer_reviewed
2,168:0,168,customer_declined
2,178:0,178,customer_reviewed
2,178:0,178,customer_intervened
3,36:0,36,domestic_received
3,113:0,113,domestic_received
3,125:0,125,customer_received
3,148:0,148,domestic_received
3,168:0,168,domestic_received
3,58:0,58,domestic_responded
3,58:0,58,domestic_material_not_issued
3,58:0,58,domestic_no_remedy
3,103:0,103,domestic_responded
3,103:0,103,domestic_material_not_issued
3,103:0,103,domestic_remedy_supported
3,159:0,159,domestic_responded
3,159:0,159,domestic_material_not_issued
3,159:0,159,domestic_no_remedy
3,170:0,170,domestic_responded
3,170:0,170,domestic_material_not_issued
3,170:0,170,domestic_no_remedy
3,207:0,207,domestic_responded
3,207:0,207,domestic_material_issued
3,207:0,207,domestic_remedy_supported
3,55:0,55,customer_reviewed
3,55:0,55,customer_intervened
3,108:0,108,customer_reviewed
3,108:0,108,customer_intervened
3,201:0,201,customer_reviewed
3,201:0,201,customer_declined
3,15:0,15,firm_case_processed
3,15:0,15,customer_firm_success
3,178:0,178,firm_case_processed
3,178:0,178,customer_firm_failure
3,15:0,15,case_resolved
4,58:0,58,customer_received
4,159:0,159,customer_received
4,201:0,201,domestic_received
4,42:0,42,domestic_responded
4,42:0,42,domestic_material_not_issued
4,42:0,42,domestic_no_remedy
4,62:0,62,domestic_responded
4,62:0,62,domestic_material_issued
4,62:0,62,domestic_remedy_supported
4,76:0,76,domestic_responded
4,76:0,76,domestic_material_not_issued
4,76:0,76,domestic_no_remedy
4,218:0,218,domestic_responded
4,218:0,218,domestic_material_not_issued
4,218:0,218,domestic_no_remedy
4,227:0,227,domestic_responded
4,227:0,227,domestic_material_not_issued
4,227:0,227,domestic_no_remedy
4,228:0,228,customer_reviewed
4,228:0,228,customer_intervened
4,55:0,55,firm_case_processed
4,55:0,55,customer_firm_failure
4,108:0,108,firm_case_processed
4,108:0,108,customer_firm_failure
5,55:0,55,domestic_received
5,76:0,76,customer_received
5,218:0,218,customer_received
5,36:0,36,domestic_responded
5,36:0,36,domestic_material_not_issued
5,36:0,36,domestic_no_remedy
5,113:0,113,domestic_responded
5,113:0,113,domestic_material_not_issued
5,113:0,113,domestic_remedy_supported
5,148:0,148,domestic_responded
5,148:0,148,domestic_material_not_issued
5,148:0,148,domestic_remedy_supported
5,168:0,168,domestic_responded
5,168:0,168,domestic_material_not_issued
5,168:0,168,domestic_no_remedy
5,125:0,125,customer_reviewed
5,125:0,125,customer_declined
5,228:0,228,firm_case_processed
5,228:0,228,customer_firm_success
5,228:0,228,case_resolved
6,5:6,5,dispute_created
6,33:6,33,dispute_created
6,34:6,34,dispute_created
6,40:6,40,dispute_created
6,46:6,46,dispute_created
6,82:6,82,dispute_created
6,95:6,95,dispute_created
6,96:6,96,dispute_created
6,137:6,137,dispute_created
6,140:6,140,dispute_created
6,153:6,153,dispute_created
6,171:6,171,dispute_created
6,176:6,176,dispute_created
6,187:6,187,dispute_created
6,199:6,199,dispute_created
6,206:6,206,dispute_created
6,214:6,214,dispute_created
6,148:0,148,customer_received
6,176:6,176,customer_received
6,199:6,199,customer_received
6,201:0,201,domestic_responded
6,201:0,201,domestic_material_not_issued
6,201:0,201,domestic_no_remedy
6,58:0,58,customer_reviewed
6,58:0,58,customer_intervened
6,159:0,159,customer_reviewed
6,159:0,159,customer_declined
6,37:0,37,domestic_implementation_success
6,122:0,122,domestic_implementation_success
6,172:0,172,domestic_implementation_success
6,37:0,37,case_resolved
6,122:0,122,case_resolved
6,172:0,172,case_resolved
7,33:6,33,domestic_received
7,40:6,40,customer_received
7,96:6,96,domestic_received
7,103:0,103,customer_received
7,171:6,171,domestic_received
7,187:6,187,customer_received
7,206:6,206,domestic_received
7,55:0,55,domestic_responded
7,55:0,55,domestic_material_not_issued
7,55:0,55,domestic_no_remedy
7,76:0,76,customer_reviewed
7,76:0,76,customer_intervened
7,218:0,218,customer_reviewed
7,218:0,218,customer_declined
7,103:0,103,domestic_implementation_failure
7,207:0,207,domestic_implementation_success
7,58:0,58,firm_case_processed
7,58:0,58,customer_firm_failure
7,207:0,207,case_resolved
8,5:6,5,domestic_received
8,82:6,82,domestic_received
8,153:6,153,customer_received
8,148:0,148,customer_reviewed
8,148:0,148,customer_intervened
8,176:6,176,customer_reviewed
8,176:6,176,customer_declined
8,199:6,199,customer_reviewed
8,199:6,199,customer_declined
8,62:0,62,domestic_implementation_success
8,76:0,76,firm_case_processed
8,76:0,76,customer_firm_success
8,62:0,62,case_resolved
8,76:0,76,case_resolved
9,34:6,34,customer_received
9,46:6,46,customer_received
9,140:6,140,customer_received
9,199:6,199,domestic_received
9,214:6,214,customer_received
9,33:6,33,domestic_responded
